REFERENCIA;STOCK;PRECIO;IVA;PROSPECTO;EAN13;DESCRIPCION;PC;FAMILIA;CATEGORIA;SUBCATEGORIA;LABORATORIO;PVP2;UBICACION
524;0;30.00;3;;8470000052446;HANLEY FINN NUDE;15.00;Parafarmacia;;;;0.00;-    
1254;0;7.95;3;;8436558880160;CRIMSON CHERRY;0.00;PARAFARMACIA;;;;0.00;EB1-2
2034;0;45.00;3;;8470000020346;HANLEY PHANTOM CAREY;22.00;Parafarmacia;;;;0.00;-    
2134;0;45.00;3;;8470000021343;HANLEY PHANTOM BLACK ;22.00;Parafarmacia;;;;0.00;-    
5033;0;25.00;3;;;HANLEY CLOUD9 CAREY;10.00;Parafarmacia;;;;0.00;
5321;0;55.00;3;;8470000053214;HANLEY DAILY CAREY;30.00;Parafarmacia;;;;0.00;     
5322;1;55.00;3;;8470000053221;HANLEY RIVA GOLD;30.00;PARAFARMACIA;;;;0.00;-    
5323;0;30.00;3;;;HANLEY FINN BLACK;15.00;Parafarmacia;;;;0.00;
5521;0;25.00;3;;8470000055218;HANLEY SAFIRE CAREY;9.00;PARAFARMACIA;;;;0.00;     
8181;1;25.00;3;;8470000081811;HANLEY CLOUD8 BLACK;10.00;Parafarmacia;;;;0.00;     
12985;15;0.85;1;;84198952;HALLS CITRICO;0.49;Dietética;;;;0.00;
15033;0;25.00;3;;8470000150333;HANLEY CLOUD9 BLACK;10.00;PARAFARMACIA;;;;0.00;     
15521;0;25.00;3;;;HANLEY SAFIRE BLACK;9.00;Parafarmacia;;;;0.00;
18181;0;25.00;3;;8435336412531;HANLEY CLOUD8 CAREY;10.00;PARAFARMACIA;;;;0.00;     
20396;0;4.95;3;;8433329087568;GILLETTE MAQ BLUE II 5 UN;1.85;PARAFARMACIA;;;;0.00;EB1-2
22034;0;45.00;3;;;HANLEY PHANTOM GREEN;22.00;Parafarmacia;;;;0.00;
25521;0;25.00;3;;;HANLEY SAFIRE GREEN ;9.00;Parafarmacia;;;;0.00;
26353;0;27.70;3;;8429420263536;PACK NAILS+MANOS ISDIN;14.96;Parafarmacia;;;;0.00;
26985;15;0.85;3;;84199195;HALLS MIEL;0.49;Dietética;;;;0.00;
