CN;Stock;PVP_con_IVA;IVA;Prospecto;EAN13;Descripcion;Precio_Coste;Familia;Categoria;Subcategoria;Laboratorio;PVP2;Ubicaciones;ID_WooCommerce;Estado;Fecha_Creacion;Fecha_Modificacion
84199218;4;1.0909;21;;;SMINT AZUL;;;Inicio;;;;;2071;publish;2025-03-27 11:10:25;2025-05-23 16:57:06
8436540335722;23;9.0455;21;;;REVACOMPLEX SUEÑO GUMMIES 30 GOMINOLAS SABOR FRUTOS DEL BOSQUE;;;Relajantes;;;;;1550;publish;2025-03-26 15:47:05;2025-05-23 16:57:06
7612367073080;0;14.8347;21;;;PURELAN 100  37 G;;;Crema de pies;;;;;1748;publish;2025-03-26 15:35:23;2025-05-23 16:57:06
8470004000863;1;6.0165;21;;;PROCHAMBER CAMARA DE INHALACION;;;Inhaladores;;;;;1965;publish;2025-03-26 15:32:22;2025-05-23 16:57:06
8434048107025;1;13;21;;;PRIM NEOPRAIR CINCHA PATELAR ONE SIZE  NPOS132 1 UNIDAD;;;Rodilleras;;;;;1125;publish;2025-03-26 15:20:17;2025-05-23 16:57:06
8434048105922;1;17.2273;21;;;PRIM AQTIVO SKIN TOBILLERA ELASTICA CON ALMOHADILLAS MALEOLARES P706BG TALLA S;;;Tobilleras;;;;;3613;publish;2025-03-26 12:59:24;2025-05-23 16:57:06
8434048105809;0;18.6818;21;;;PRIM AQTIVO SKIN RODILLERA ELASTICA CON ALMOHADILLADO Y ESTABILIZADORES LATERALES P701BG TALLA S;;;Rodilleras;;;;;1063;publish;2025-03-26 12:59:13;2025-05-23 16:57:06
8434048105793;0;21.7727;21;;;PRIM AQTIVO SKIN RODILLERA ELASTICA CON ALMOHADILLADO Y ESTA;;;Rodilleras;;;;;3611;publish;2025-03-26 12:59:08;2025-05-23 16:57:06
8434048105861;3;14.5;21;;;PRIM AQTIVO SKIN TOBILLERA ELASTICA TALLA S P710BG;;;Tobilleras;;;;;1073;publish;2025-03-24 16:32:28;2025-05-23 16:57:06
8434048105847;3;15.9091;21;;;PRIM AQTIVO SKIN TOBILLERA ELASTICA TALLA L P710BG;;;Tobilleras;;;;;1075;publish;2025-03-24 16:31:57;2025-05-23 16:57:06
8434048131167;1;11.7727;21;;;PRIM AQTIVO SKIN TOBILLERA ELASTICA P710BG TALLA S;;;Tobilleras;;;;;1121;publish;2025-03-24 16:30:45;2025-05-23 16:57:06
8434048105915;1;18.1364;21;;;PRIM AQTIVO SKIN TOBILLERA ELASTICA CON ALMOHADILLAS MALEOLARES P706BG TALLA M;;;Tobilleras;;;;;3615;publish;2025-03-24 16:29:22;2025-05-23 16:57:06
8434048105748;3;14.0909;21;;;PRIM AQTIVO SKIN RODILLERA ELASTICA P700BG TALLA S;;;Rodilleras;;;;;1057;publish;2025-03-24 16:26:20;2025-05-23 16:57:06
8434048105786;0;21.7727;21;;;PRIM AQTIVO SKIN RODILLERA ELASTICA CON ALMOHADILLADO Y ESTABILIZADORES LATERALES P701BG TALLA L;;;Rodilleras;;;;;1065;publish;2025-03-24 16:25:21;2025-05-23 16:57:06
8434048105137;1;12.6818;21;;;PRIM AQTIVO SKIN ELASTICA MUÑEQUERA METACARPIANA P704BG TALLA M;;;Muñequeras;;;;;1069;publish;2025-03-24 16:23:10;2025-05-23 16:57:06
5420008553035;5;9.5673;21;;;"<p>Digest Transit Bio de Pranarom favorece el tránsito intestinal de forma completa sin ración ni intolerancia. Restablece el equilibrio digestivo por su acción beneficiosa sobre la microbiota intestinal. Efecto eupéptico y antiespasmódico Relajante del sistema nervioso: para estreñimiento debido a situaciones de estrés, viajes, cambios de dieta... Indicado en casos de restreñimiento crónico a agudo.</p> <p><strong>MODO DE EMPLEO</strong></p> <p>A partir de 18 años: Diluir un sobre en un vaso grande de agua o zumo de manzana después de las comidas, una o dos veces al día.</p> <p><strong>INCI</strong></p> <p>INGREDIENTES (para 2 sobres): Psyllium en polvo* (Plantago ovata – 5,50 g); almidón de maiz* ; azúcar de caña* ; Fibras de manzana* (Malus domestica – 1,50 g); Mezcla de aceites esenciales: Mandarina* (Citrus reticulata zest – 75 mg), Cardamomo* (Elettaria cardamomum – 37,5 mg), Jengibre* (Zingiber officinale – 37,5 mg).</p> <p>* Ingrediente procedente de Agricultura Ecológica (Certisys BE-BIO-01 Control).</p>";;;Digestión, Pranarom;;;;;3526;publish;2025-03-24 16:02:48;2025-05-23 16:57:06
5420008538254;0;10.7025;21;;;<p><strong>MODO DE EMPLEO</strong>:</p> <p>A partir de 6 meses : una aplicación</p> <p>local sobre el chichón o el moratón de</p> <p>3 a 4 veces al día durante 3 días.</p> <p><strong>INGREDIENTES:</strong></p> <p>Aqua, Helianthus annuus*(Girasol) , Cetearyl alcohol, Glycerin*, Calophyllum inophyllum*(Calófilo), Helichrysum italicum*(Siempreviva amarilla), Arnica montana flower extract*(Árnica), Cupressus sempervirens*(Ciprés de Provenza), Curcuma longa*(Cúrcuma),</p> <p>Mentha arvensis*(Menta de campo), Cetearyl glucoside, Inulin lauryl carbamate, Tocopherol, Sorbitan caprylate, Xanthan gum, Sodium benzoate, Gellan gum, Propanediol, Benzoic acid, Sodium hydroxyde, Citral**, Limonene**, Linalol**.</p> <p>* Ingrediente procedente de la Agricultura Ecológica (Control Certisys BE-BIO-01).</p> <p>** Sustancia naturalmente presente en los aceites esenciales</p>;;;Tratamientos corporales, Pranarom;;;;;3280;publish;2025-03-21 17:42:21;2025-05-23 16:57:06
5420008553073;9;8.6364;21;;;"<p><strong>Modo empleo</strong></p> <p>Adultos: la dosis inicial es de 2 cápsulas, seguidas, si es necesario, de 1 cápsula después de cada deposición blanda.</p> <p>Adolescentes de 12 a 18 años: la dosis inicial es de 1 cápsula, seguida, si es necesario, de 1 cápsula después de cada deposición blanda. Nunca exceda las 8 cápsulas en un período de 24 horas.</p> <p><strong>Composición</strong></p> <p>Para 8 cápsulas: Carbón vegetal activado 2000 mg; Polvo de psyllium (Plantago ovata) 1200 mg; recubrimiento (cápsula): hidroxipropilmetilcelulosa; agente antiaglomerante: dióxido de silicio; Aceites esenciales: Illicium verum (Anís estrellado) 75 mg, Carum carvi (Alcaravea) 75 mg; Antiaglomerante: Sales magnésicas de ácidos grasos.</p>";;;Digestión, Pranarom;;;;;3524;publish;2025-03-21 14:51:36;2025-05-23 16:57:06
5420008551345;49;9.0545;21;;;<p><strong>Modo empleo</strong></p> <p>A partir de 12 años: chupar o masticar 1 o 2 comprimidos de Pranarom Digestarom Digest Confort, de 1 a 3 veces al día, antes o después de las comidas.</p> <p>A partir de los 6 años: chupar o masticar 1 comprimido, de 1 a 3 veces al día, antes o después de las comidas.</p>;;;Digestión, Pranarom;;;;;3520;publish;2025-03-21 14:50:27;2025-05-23 16:57:06
5420008514388;6;13.1818;21;;;<p><strong>Dosificación</strong></p> <p>Niños de 30 meses a 6 años : aplicar únicamente en brazos y piernas, 1 a 2 veces por día.</p> <p>Adultos y niños a partir de 7 años : aplicar sobre las zonas corporales expuestas y extender la leche hasta que penetre por completo. Utilizar cada 7 horas. Puede aplicarse en la frente y el cuello.</p> <p>Mujeres embarazadas a partir del cuarto mes de embarazo y mujeres que estén dando el pecho : aplicar como máximo una vez por la mañana y otra por la noche.</p> <p>- Renovar la aplicación después del baño</p>;;;Repelentes y Picaduras, Pranarom;;;;;2978;publish;2025-03-21 14:29:34;2025-05-23 16:57:06
5420008528200;4;18.5537;21;;;<p></p> <p>Fórmula eficaz que ayuda a:</p> <p>- Purificar el ambiente</p> <p>- Respirar un aire sano</p>;;;Aceites Esenciales, Pranarom;;;;;2142;publish;2025-03-21 14:28:46;2025-05-23 16:57:06
5420008559426;49;10.8636;21;;;"<p>Las cápsulas de salud urinaria Oleobiotic® contienen una sinergia de Aceites Esenciales de Orégano, Canela y Ajedrea y están enriquecidas con Aceite Esencial de Hinojo, que ayuda al buen funcionamiento de las vías urinarias.</p> <p>1 cápsula antes o con las comidas, 3 veces al día durante 5 días. Acabar la caja.</p> <p><strong>Ingredientes para 3 cápsulas:</strong></p> <p>Aceite de Girasol (Helianthus annuus); Gelatina; Gelificante: sorbitol; Aceite esencial de Hierba limón (Cymbopogon citratus - 120 mg); Gelificante: Glicerol; Agua; Aceite esencial de Canela china (Cinnamomum cassia - 90 mg); Gelificante: Pectina; Aceites esenciales : Tomillo común (Thymus vulgaris CT timol - 60 mg), Ajedrea de montaña (Satureja montana - 60 mg), Hinojo dulce (Foeniculum vulgare - 45 mg), Clavo de olor (Eugenia caryophyllus - 30 mg), Orégano común (Origanum vulgare - 30 mg), Cáscara de limón (Citrus limon - 15 mg); Antioxidante: extracto rico en tocoferoles.</p>";;;Vías urinarias, Pranarom;;;;;3563;publish;2025-03-21 14:20:03;2025-05-23 16:57:06
5420008524509;2;9.0455;21;;;PRANAROM ARBOL DEL TE 10 ML;;;Aceites Esenciales, Pranarom;;;;;3258;publish;2025-03-21 14:18:33;2025-05-23 16:57:06
5420008524448;3;8.1364;21;;;PRANAROM ACEITE ESENCIAL EUCALIPTO HOJA BIO;;;Inicio, Pranarom;;;;;3540;publish;2025-03-21 14:14:54;2025-05-23 16:57:06
8434048106349;2;12.6818;21;;;<p>Nueva gama de productos podológicos de gel Comforgel que ofrece soluciones confortables perfectamente adaptables a todas las zonas del pie a tratar. Productos fabricados en gel 100% puro. Diseñados para proporcionar la máxima comodidad y flexibilidad protegiendo los pies allí donde se requiera un cuidado especial.</p> <p>Alta flexibilidad y máxima adaptabilidad.</p> <p>Se adaptan a las zonas a tratar garantizando una mayor absorción de impactos, reduciendo la fricción y mitigando las molestias que se producen en los pies.</p>;;;Plantillas;;;;;3788;publish;2025-03-21 13:26:53;2025-05-23 16:57:07
8431082070193;1;21.8182;21;;;PLANTILLAS CON DESCARGAS ANTIIMPACTO DE SILICONA COMFORSIL 2 UNIDADES;;;Plantillas;;;;;1953;publish;2025-03-21 13:26:01;2025-05-23 16:57:07
8431082070063;2;21.8182;21;;;PLANTILLAS COMFORSIL PIES Y PIERNAS CANSADOS DE SILICONA 2 U;;;Inicio;;;;;244;publish;2025-03-21 13:25:33;2025-05-23 16:57:07
N/A;8;0.00;21;;;PIPIA PEQUEÑO;;;Inicio;;;;;42;publish;2025-03-21 13:23:52;2025-05-23 16:57:07
8437010508165;0;5.3719;21;;;PHB CLASSIC MEDIO PACK CEPILLO DENTAL ADULTO;;;Cepillos Dentales;;;;;452;publish;2025-03-21 13:04:00;2025-05-23 16:57:07
8410840034967;19;0.4132;21;;;PAÑUELOS DE BOLSILLO;;;Inicio;;;;;79;publish;2025-03-21 12:52:48;2025-05-23 16:57:07
